Bài,生词,Pinyin,描述,意义,例如,复习,检查
bài 7,顾虑,#NAME?,担心、放心不下,bận tâm,我没有顾虑,,FALSE
bài 7,过度,#NAME?,太多,quá mức,,,FALSE
bài 7,致使,#NAME?,导致（多指不好的结果）,Gây ra,他的粗心致使实验失败,,FALSE
bài 7,终身,#NAME?,一辈子,suốt đời,这是我终身难忘的事,,FALSE
bài 7,悔恨,#NAME?,非常后悔到恨自己,hối hận,他非常悔恨自己的决定,,FALSE
bài 7,类似,#NAME?,差不多、相像,tương tự,这两种情况很类似,,FALSE
bài 7,精确,#NAME?,非常准确,chính xác,他的计算非常精确,,FALSE
bài 7,伴随,#NAME?,跟着一起出现,Đi kèm,成功常常伴随失败,,FALSE
bài 7,日益,#NAME?,一天比一天更……,ngày càng,空气污染日益严重,,FALSE
bài 7,运行,#NAME?,机器或系统的正常工作， 动,chạy,机器运行正常,,FALSE
bài 7,裁员,#NAME?,公司减少员工,sa thải,经济不好，很多工厂在裁员,,FALSE
bài 7,意味着,#NAME?,某个事情的背后有一个神的意思,nghĩa là,这意味着我们必须努力,,FALSE
bài 7,英明,#NAME?,聪明有远见,sáng suốt,这是一个英明的决定,,FALSE
bài 7,"称心如意  ",#NAME?,非常满意，完全符合心意,Mọi việc diễn ra theo đúng kế hoạch.,他终于找到称心如意的工作,,FALSE
bài 7,除,#NAME?,"除了……以外, 把。。。放在方边","ngoài ra, phép chia",除他以外，大家都去了,,FALSE
bài 7,热门,#NAME?,很受欢迎、很火,Phổ biến,这部电影很热门,,FALSE
bài 7,以致,#NAME?,导致（多指不好的结果）,"Vì vậy,",他太累了，以致生病了,,FALSE
bài 7,饱和,#NAME?,已经满了，不能再增加,độ bão hòa,这个市场已经饱和,,FALSE
bài 7,就业,#NAME?,找到工作,Thuê người làm,他今年顺利就业了,,FALSE
bài 7,及早,#NAME?,"尽早、早一点, 先做赶快",càng sớm càng tốt,我们应该及早准备,,FALSE
bài 7,机遇,#NAME?,很难有好机会， 很难得,cơ hội,抓住机遇很重要,,FALSE
bài 7,并非,#NAME?,并不是,khoông phải,他并非不想帮忙,,FALSE
bài 7,心灵,#NAME?,"内心,情神，想法",taâm hồn,音乐能净化心灵,,FALSE
bài 7,免疫,#NAME?,抵抗力,miễn dịch,锻炼能提高免疫力,,FALSE
bài 7,决策,#NAME?,"做出决定, 更重要",ra quyết định,领导决策很正确,,FALSE
bài 7,争先恐后,#NAME?,争着向前，怕落后,vội vàng để trở thành người đầu tiên,大家争先恐后报名,,FALSE
bài 8,婴儿,#NAME?,刚出生的孩子,Đứa bé,这个婴儿刚出生三天。,,FALSE
bài 8,翻天覆地,#NAME?,变化非常大,sự biến động,他的生活最近发生了翻天覆地的变化。,,FALSE
bài 8,更新,#NAME?,变成新的,gia hạn,这本书的内容已经更新了。,,FALSE
bài 8,酒窝,#NAME?,笑的时候脸上的小坑,lúm đồng tiền,小女孩脸上有两个可爱的酒窝。,,FALSE
bài 8,蹦,#NAME?,跳起来,nhảy,他高兴得蹦了起来。,,FALSE
bài 8,疤,#NAME?,伤口好了以后留下的痕迹,vết sẹo,那次事故在他手上留下一道疤。,,FALSE
bài 8,跌,#NAME?,变宜了，摔倒,ngã,小心别跌倒了。,,FALSE
bài 8,掩盖,#NAME?,把事情藏起来，不让人看见,che phủ,云掩盖了太阳。,,FALSE
bài 8,"大脑 ",#NAME?,人思考的器官， 书面字,Não,他的大脑很聪明。,,FALSE
bài 8,确信,#NAME?,"非常相信, 一点也不怀疑",tin chắc rằng,他确信这个决定是对的。,,FALSE
bài 8,比喻,#NAME?,用一个东西来说明另一个东西,"ví dụ, ví như",把爱情比喻成玫瑰。,,FALSE
bài 8,呈现,#NAME?,显露出来,thể hiện,画面呈现出温暖的颜色。,,FALSE
bài 8,固有,#NAME?,本来就有的,vốn có,这是人类固有的本能。,,FALSE
bài 8,阐述,#NAME?,详细说明,trình bày,老师详细阐述了这个理论。,,FALSE
bài 8,陈述,#NAME?,清楚地说明,tuyên bố,,,FALSE
bài 8,见解,#NAME?,想法,ý kiến,他对这个问题有独特的见解。,,FALSE
bài 8,演变,#NAME?,慢慢变化和发展,Sự tiến hóa,科技正在快速演变。,,FALSE
bài 8,推测,#NAME?,根据情况猜想,suy đoán,专家推测明天会下雨。,,FALSE
bài 8,譬如,#NAME?,比如,Ví dụ,譬如说，我们可以去散步。,,FALSE
bài 8,各抒己见,#NAME?,每个人说出自己的看法,Mỗi người đều bày tỏ ý kiến ​​riêng của mình.,同学们各抒己见，气氛很热烈。,,FALSE
bài 8,通缉,#NAME?,警察公开抓捕,truy nã,这个罪犯被通缉了很多年。,,FALSE
bài 8,惩罚,#NAME?,处罚,trừng phạt,坏人应该受到惩罚。,,FALSE
bài 8,忧郁,#NAME?,心里很不开心,u sầu,她因为失恋而感到忧郁。,,FALSE
bài 8,肺,#NAME?,呼吸的器官,phổi,吸烟对肺有害。,,FALSE
bài 8,器官,#NAME?,身体的组成部分,cơ quan,眼睛是人体重要器官。,,FALSE
bài 8,极端,#NAME?,非常过分,vô cùng,不要走极端。,,FALSE
bài 8,空前绝后,#NAME?,以前没有，以后也不会有,Chưa từng có và vô song,这次比赛规模空前绝后。,,FALSE
bài 8,清醒,#NAME?,头脑清楚,tỉnh lại,喝了咖啡后，我清醒了很多。,,FALSE
bài 8,言论,#NAME?,说的话、观点,lý luận,不要轻易相信网络上的言论。,,FALSE
bài 8,学说,#NAME?,理论、思想,học thuyết,这个学说已经被很多人接受。,,FALSE
bài 8,昏迷,#NAME?,,hôn mê,他因为车祸严重受伤，目前依然处于昏迷状态。,,FALSE
bài 8,移植,#NAME?,把器官从一个人移到另一个人身上,cấy ghép,器官移植技术越来越先进。,,FALSE
bài 8,面貌,#NAME?,脸的样子、青神 ， 状态,khuôn mặt,城市的面貌发生了很大变化。,,FALSE
bài 8,遥远,#NAME?,很远,xa xôi,我的梦想看起来还很遥远。,,FALSE
bài 8,陷入,#NAME?,进入某种不好的状态,Rơi vào,公司陷入财务危机。,,FALSE
bài 8,思索,#NAME?,认真思考,suy nghĩ,他整夜都在思索人生。,,FALSE
bài 8,设想,#NAME?,想象,Tưởng tượng,他设想了很多种可能。,,FALSE
bài 8,性命,#NAME?,生命,mạng sống,保护好自己的性命。,,FALSE
bài 8,无忧无虑,#NAME?,没有烦恼，很开心,vô tư,我希望过无忧无虑的生活。,,FALSE
bài 8,崭新,#NAME?,全新的,Hoàn toàn mới,他穿着一件崭新的衣服。,,FALSE
bài 9,正经,#NAME?,做事认真，不随便开玩笑,nghiêm trọng,我是正经跟你说的。,,FALSE
bài 9,玩意儿,#NAME?,可以拿来用、玩或者看的东西,điều,这是什么玩意儿？,,FALSE
bài 9,憋,#NAME?,心里有话、有感觉，但不说出来,kìm hãm lại,有什么委屈别憋在心里。,,FALSE
bài 9,报警,#NAME?,遇到危险或问题时告诉警察,Gọi cảnh sát,发现情况不对，他立刻报警了。,,FALSE
bài 9,绑架,#NAME?,把人强行带走，不让他自由离开,bắt cóc,电影里的孩子被坏人绑架了。,,FALSE
bài 9,受罪,#NAME?,身体或心里很难受,Sự đau khổ,牙疼的时候真受罪。,,FALSE
bài 9,吼,#NAME?,声音很大地说话,kêu la,别对孩子大吼大叫。,,FALSE
bài 9,智能,#NAME?,能自己处理事情、做出反应,thông minh,现在很多家庭都在用智能家电。,,FALSE
bài 9,奴隶,#NAME?,没有自由，要听别人命令的人,nô lệ,别做手机的奴隶。,,FALSE
bài 9,麻木,#NAME?,对事情没有感觉，也没有反应,tê liệt,同样的话听多了，人就麻木了。,,FALSE
bài 9,狼吞虎咽,#NAME?,吃东西很快，好像很久没吃饭一样,sói,他饿得狼吞虎咽地吃起来。,,FALSE
bài 9,伺候,#NAME?,照顾别人生活上的需要,phục vụ,奶奶生病了，需要人伺候。,,FALSE
bài 9,眨,#NAME?,眼睛很快地关一下又打开,nháy mắt,她眨了眨眼睛，没有说话。,,FALSE
bài 9,索性,#NAME?,不再考虑别的，直接这样做,Vậy thì cứ như thế đi,既然来了，我索性进去看看。,,FALSE
bài 9,作息,#NAME?,每天什么时候工作、学习、休息,Thói quen hàng ngày,我的作息一直很规律。,,FALSE
bài 9,着手,#NAME?,开始动手做某件事,Bắt đầu,这项工作已经开始着手准备了。,,FALSE
bài 9,安置,#NAME?,把人或东西安排在合适的地方,"thu xếp, bố trí",学校已经安置好了受灾群众。,,FALSE
bài 9,防止,#NAME?,提前准备办法，不让事情发生 （不能控制）,ngăn chặn,我们要防止类似的问题再次发生。,,FALSE
bài 9,薄弱,#NAME?,力量不够，容易出问题,yếu đuối,这个环节比较薄弱。,,FALSE
bài 9,精致,#NAME?,做得很细，很漂亮,tinh xảo,她今天打扮得很精致。,,FALSE
bài 9,庄重,#NAME?,给人严肃、正式的感觉,trang nghiêm,婚礼现场显得十分庄重。,,FALSE
bài 9,分散,#NAME?,从集中变成不集中,sự phân tán,注意力容易被手机分散。,,FALSE
bài 9,僵硬,#NAME?,身体不灵活，不容易活动,cứng,坐久了身体有点僵硬。,,FALSE
bài 9,四肢,#NAME?,人的两只手和两条腿,chi,运动可以锻炼四肢。,,FALSE
bài 9,特长,#NAME?,比一般人更擅长的能力,sở trường,他的特长是画画。,,FALSE
bài 9,兴高采烈,#NAME?,心情特别高兴,vui mừng,孩子们兴高采烈地跑进教室。,,FALSE
bài 9,摇滚,#NAME?,一种节奏很强的现代音乐,Đá,我年轻时很喜欢听摇滚。,,FALSE
bài 9,一举两得,#NAME?,做一件事，得到两个好处,Một công đôi việc,这样做真是一举两得。,,FALSE
bài 9,侦探,#NAME?,专门调查案件的人,thám tử,这位侦探很有经验。,,FALSE
bài 9,案件,#NAME?,需要调查和处理的事件,vụ án,警方正在调查这起案件。,,FALSE
bài 9,突破,#NAME?,遇到困难后取得新的进展,đột phá,经过努力，终于有了突破。,,FALSE
bài 9,震惊,#NAME?,因为某件事感到非常吃惊,sốc,这个消息让我十分震惊。,,FALSE
bài 9,恐怖,#NAME?,让人感到害怕,nỗi sợ,一个人走夜路总觉得有点恐怖。,,FALSE
bài 9,袭击,#NAME?,突然使用力量攻击,tấn công,机场曾遭到不明人员袭击。,,FALSE
bài 9,干扰,#NAME?,影响别人正常做事,sự can thiệp,噪音严重干扰了我的工作。,,FALSE
bài 9,冷落,#NAME?,不被重视，不被关心,sao nhãng,最近总觉得被朋友冷落了。,,FALSE
bài 9,踏实,#NAME?,心里安稳，不着急,yên tâm,把事情交给他，我很踏实。,,FALSE
bài 9,空虚,#NAME?,心里好像缺少什么东西,trống rỗng,假期结束后心里有点空虚。,,FALSE
bài 9,要命,#NAME?,严重得让人受不了,Nguy hiểm,热得真要命。,,FALSE
bài 9,消耗,#NAME?,在使用过程中慢慢减少,Sự tiêu thụ,长时间开车很消耗体力。,,FALSE
bài 9,弥补,#NAME?,把失去的东西补回来,bù đắp,希望以后有机会弥补这个遗憾。,,FALSE
bài 9,沸腾,#NAME?,像开水一样翻滚,sôi,比赛现场气氛沸腾。,,FALSE
bài 9,弥漫,#NAME?,慢慢散开，到处都有,"lan tỏa, bao phủ",空气中弥漫着花香。,,FALSE
bài 9,往常,#NAME?,平时，一般情况下,Thông thường,他和往常一样准时到达。,,FALSE
bài 9,安宁,#NAME?,安静、平和，没有打扰,an yên,大家都希望过上安宁的生活。,,FALSE
bài 10,视野,#NAME?,看东西能达到更远,tầm nhìn,我的视野因为旅行变得更开阔了。// 阅读可以扩大我们的视野。,,FALSE
bài 10,饮食,#NAME?,吃的东西和吃饭的习惯,ẩm thực,中国人的饮食习惯很有特色。// 合理的饮食对身体很重要。,,FALSE
bài 10,蕴藏,#NAME?,里面藏着很多,chứa đựng,这片土地蕴藏着丰富的矿产。// 中国文化蕴藏着深厚的智慧。,,FALSE
bài 10,传达,#NAME?,把信息或想法传给别人,truyền đạt,这首歌传达了作者对家乡的感情。// 食物能传达一个民族的文化。,,FALSE
bài 10,鲜明,#NAME?,很明显、很突出,sống động,这幅画的颜色对比非常鲜明。// 他的特点是性格鲜明。,,FALSE
bài 10,优异,#NAME?,特别好、成绩突出,Xuất sắc,他这次考试取得了优异的成绩。// 运动员表现出了优异的水平。,,FALSE
bài 10,以至,#NAME?,甚至到、结果导致 (好 + 坏的结果）,dẫn đến,他努力学习，以至忘记了吃饭。// 雨下得太大，以至道路被淹了。,,FALSE
bài 10,调和,#NAME?,"让不同的东西配合好, 改某个紧张的情况",hòa giải,不同意见需要互相调和。// 这两种颜色搭配得很调和。,,FALSE
bài 10,辽阔,#NAME?,面积很大、很宽广,rộng lớn,中国地域辽阔，各地美食不同。// 辽阔的大草原一望无际。,,FALSE
bài 10,飞禽走兽,#NAME?,天上飞的鸟和地上跑的动物,chim và thú,森林里有许多飞禽走兽。// 古代人靠飞禽走兽为食。,,FALSE
bài 10,湖泊,#NAME?,一片很大的水域,hồ,这个湖泊很大很漂亮。// 湖泊周围风景优美。,,FALSE
bài 10,溪,#NAME?,小河流,Suối,小溪的水清澈见底。// 溪边有很多野花。,,FALSE
bài 10,丘陵,#NAME?,不高的山地,đồi,这里是丘陵地带，适合种茶。// 丘陵地区起伏不大。,,FALSE
bài 10,种植,#NAME?,把植物种到地里,Trồng cây,农民在田里种植蔬菜。// 这里适合种植水稻。,,FALSE
bài 10,即便,#NAME?,就是…也,ngay cả khi,即便下雨，我们也要去。// 即便失败了，也不要放弃。,,FALSE
bài 10,素食,#NAME?,不吃肉类的食物,chế độ ăn chay,他是一个素食爱好者。// 素食越来越受欢迎。,,FALSE
bài 10,人间,#NAME?,人生活的世界,thế giới,人间有许多美好的事情。// 这里简直是人间天堂。,,FALSE
bài 10,体系,#NAME?,完整的组织结构,hệ thống,教育体系需要不断完善。// 这个管理体系很完整。,,FALSE
bài 10,精心,#NAME?,非常认真仔细地做,Cẩn thận,他精心准备了今天的演讲。// 妈妈精心做了一顿饭。,,FALSE
bài 10,构思,#NAME?,提前想好怎么安排,Ý tưởng,这部电影构思非常巧妙。// 设计师正在构思新方案。,,FALSE
bài 10,烹饪,#NAME?,做菜的过程,nấu ăn,她很会烹饪中国菜。// 学习烹饪可以让人快乐。,,FALSE
bài 10,认可,#NAME?,同意、接受,Sự chấp thuận,他的想法得到了大家的认可。// 这个新产品获得了市场认可。,,FALSE
bài 10,形态,#NAME?,东西的外形样子,hình thức,云的形态千变万化。// 这种花的形态很特别。,,FALSE
bài 10,栽培,#NAME?,把植物种起来养,canh tác,他在温室里栽培了很多花。// 农民栽培了新品种水果。,,FALSE
bài 10,"培育",#NAME?,培养植物或动物,Trồng trọt,科学家培育出新品种水稻。// 老师培育了学生的兴趣。,,FALSE
bài 10,凡是,#NAME?,只要是、所有的,tất cả,凡是努力的人都会进步。// 凡是参加考试的人都要准时。,,FALSE
bài 10,清晰,#NAME?,看得清楚、明白,Thông thoáng,他的发音非常清晰。// 我清晰地记得那件事。,,FALSE
bài 10,分辨,#NAME?,区分不同的事物,Phân biệt,我很难分辨这两种颜色。// 他能分辨真假。,,FALSE
bài 10,区域,#NAME?,一定的地区范围,khu vực,这个区域发展很快。// 不同区域有不同文化。,,FALSE
bài 10,辉煌,#NAME?,非常出色、光彩,xuất sắc,中国的古代文明非常辉煌。// 他取得了辉煌的成就。,,FALSE
bài 10,和谐,#NAME?,相处融洽、协调,hài hòa,家庭成员之间要和谐相处。// 这幅画的颜色很和谐。,,FALSE
bài 10,继承,#NAME?,接过前人的东西继续下去,kế thừa,我们要继承祖先的优秀传统。// 他继承了父亲的事业。,,FALSE
bài 10,元素,#NAME?,组成整体的基本部分,yếu tố,水是生命的重要元素。// 创新是公司发展的元素。,,FALSE
bài 10,活力,#NAME?,生命的力量、精神,sức sống,年轻人充满活力。// 这座城市很有活力。,,FALSE
bài 10,奥秘,#NAME?,神秘而难懂的事情,Bí ẩn,宇宙中还有很多奥秘。// 生命的起源是一个奥秘。,,FALSE
bài 10,品种,#NAME?,不同的种类,đa dạng,超市里有各种品种的苹果。// 这个品种的米很好吃。,,FALSE
bài 10,频率,#NAME?,出现的次数多少,Tính thường xuyên,他发短信的频率很高。// 这种病发作的频率增加了。,,FALSE
bài 10,调料,#NAME?,做菜时加的调味东西,gia vị,做菜需要合适的调料。// 盐是最基本的调料。,,FALSE
bài 10,正宗,#NAME?,真正原产地的、正宗的,chính cống,这才是正宗的四川火锅。// 他做的是正宗的意大利面。,,FALSE
bài 10,所在,#NAME?,存在的位置,Vị trí,问题的关键所在是资金。// 这就是成功的秘密所在。,,FALSE
bài 10,加工,#NAME?,对原料进行处理,gia công,工厂正在加工原材料。// 这些水果需要加工后才能吃。,,FALSE
bài 10,创新,#NAME?,创造出新的东西,Sự đổi mới,我们要勇于创新。// 这家公司非常注重创新。,,FALSE
bài 10,就餐,#NAME?,吃饭,Ăn uống,大家正在就餐，请不要打扰。// 中国人就餐时喜欢聊天。,,FALSE
bài 10,照样,#NAME?,和原来一样,vẫn như thế,即使失败了，他照样努力。// 虽然下雨，他照样出门跑步。,,FALSE
bài 10,得力,#NAME?,因为…而成功,Cửa hàng thực phẩm chế biến sẵn,他的成功得力于坚持不懈。// 这项成果得力于团队合作。,,FALSE
bài 10,内在,#NAME?,内部本身的,Bên trong,内在美比外表更重要。// 要了解事物的内在规律。,,FALSE
bài 10,灵感,#NAME?,突然出现的好的想法,cảm hứng,他突然有了灵感，写出一首好诗。// 缺乏灵感的时候很难创作。,,FALSE
bài 10,排斥,#NAME?,不接受、拒绝,Từ chối,他排斥一切新事物。// 不要排斥不同的意见。,,FALSE
bài 10,折,#NAME?,弯曲、叠起来,nếp gấp,这张纸可以折成飞机。// 他把衣服折得整整齐齐。,,FALSE
bài 10,跪,#NAME?,用膝盖跪在地上,quỳ xuống,古代中国人跪坐吃饭。// 他跪下来感谢父母。,,FALSE
bài 10,局限,#NAME?,被限制在一定范围内,Hạn chế,不要局限自己的思维。// 他的发展受到了局限。,,FALSE
bài 10,诞生,#NAME?,开始出现、产生,Sinh,智能手机诞生于20世纪末。// 新思想诞生于交流中。,,FALSE
bài 11,流浪,#NAME?,没有固定的家，到处生活的人,Lang thang,他小时候流浪过一段时间。,,FALSE
bài 11,淋,#NAME?,身上有水，衣服被水弄湿了,Lin,下雨了，他全身都淋湿了。,,FALSE
bài 11,拜访,#NAME?,到别人家里去看望别人,ghé thăm,周末我去拜访了老师。,,FALSE
bài 11,见多识广,#NAME?,看过很多地方、经历过很多事情,hiểu biết nhiều và nhìn xa trông rộng ,爷爷去过很多国家，见多识广。,,FALSE
bài 11,教养,#NAME?,对别人有礼貌，会考虑别人的感受,sự nuôi dạy,有教养的人说话很有礼貌。,,FALSE
bài 11,懒惰,#NAME?,该做的事不愿意做，总想休息,Lười,他太懒惰了，连房间都不收拾。,,FALSE
bài 11,馋,#NAME?,总想吃东西，看见好吃的就想吃,thèm,弟弟很馋，一看见蛋糕就想吃。,,FALSE
bài 11,亲热,#NAME?,像家人一样靠得很近，很自然地相处,nhiệt tình thân thiết,小猫一见到主人就特别亲热。,,FALSE
bài 11,统统,#NAME?,一个也不留，全部都包括进去,tất cả,这些水果统统都是给你的。,,FALSE
bài 11,迷人,#NAME?,让人觉得很有吸引力,quyến rũ,这里的夜景非常迷人。,,FALSE
bài 11,模范,#NAME?,做得很好，能给别人学习的人或事物,hình mẫu,她是大家学习的模范。,,FALSE
bài 11,饲养,#NAME?,照顾动物，让它们长大,chăn nuôi,他从小饲养小动物。,,FALSE
bài 11,清洁,#NAME?,把脏东西弄干净,lau dọn,妈妈每天都把房间打扫得很清洁。,,FALSE
bài 11,喂,#NAME?,把食物送到嘴边让人或动物吃,Xin chào,爷爷正在喂小鸟吃东西。,,FALSE
bài 11,操纵,#NAME?,用手或工具控制东西怎么动,điều khiển,他正在操纵这台机器。,,FALSE
bài 11,跟踪,#NAME?,一直跟在后面，看看去了哪里,theo dõi,警察一直在跟踪那个可疑的人。,,FALSE
bài 11,角落,#NAME?,不容易看见，不显眼的地方,ngóc ngách,那只小猫躲在角落里。,,FALSE
bài 11,误差,#NAME?,结果和实际情况不完全一样,sai số,这次计算有一点儿误差。,,FALSE
bài 11,踪迹,#NAME?,走过后留下的痕迹,dấu vết,警察发现了小偷的踪迹。,,FALSE
bài 11,动静,#NAME?,有没有声音、有没有事情发生,sự chuyển động,外面一点儿动静也没有。,,FALSE
bài 11,操作,#NAME?,按照方法使用机器或设备,vận hành,他已经学会操作电脑了。,,FALSE
bài 11,凝视,#NAME?,长时间认真地看着,ánh nhìn,她凝视着远方的大海。,,FALSE
bài 11,深沉,#NAME?,心里想得很多，不轻易表现出来,sâu,他说话的声音很深沉。,,FALSE
bài 11,监视,#NAME?,在旁边一直看着别人做什么,Giám sát,工作人员正在监视现场情况。,,FALSE
bài 11,举动,#NAME?,做出来的动作或行为,di chuyển,他的举动让大家很吃惊。,,FALSE
bài 11,繁忙,#NAME?,事情很多，没有空闲时间,bận,最近工作特别繁忙。,,FALSE
bài 11,急切,#NAME?,心里很想马上做到某件事,háo hức,大家都在急切地等消息。,,FALSE
bài 11,例外,#NAME?,和一般情况不一样的情况,ngoại lệ,这次是个例外。,,FALSE
bài 11,趴,#NAME?,身体贴着地面或别的东西不动,nói dối,小狗趴在地上睡觉。,,FALSE
bài 11,知足常乐,#NAME?,知道自己已经拥有很多，不总想着得到更多,Sự mãn nguyện mang lại hạnh phúc,爷爷常说知足常乐。,,FALSE
bài 11,恭敬,#NAME?,对别人很有礼貌，很尊重别人,cung kính,学生恭敬地向老师问好。,,FALSE
bài 11,君子,#NAME?,品德好、做事正直的人,quý ông,他是一位真正的君子。,,FALSE
bài 11,嗅觉,#NAME?,用鼻子分辨气味的能力,khứu giác,狗的嗅觉非常厉害。,,FALSE
bài 11,灵敏,#NAME?,发现变化很快，反应很快,Nhạy cảm,她很灵敏，很快就发现了问题。,,FALSE
bài 11,敏捷,#NAME?,动作很快，不拖拉,linh hoạt,猴子的动作十分敏捷。,,FALSE
bài 11,快活,#NAME?,心里高兴，过得开心,vui mừng,孩子们玩得很快活。,,FALSE
bài 11,扑,#NAME?,一下子冲过去，用身体靠近目标,"vồ, nhào, lao",小猫一下子扑到了主人怀里。,,FALSE
bài 11,缺陷,#NAME?,天生就有、不容易改掉的问题,khuyết điểm,每个人都有自己的缺陷。,,FALSE
bài 11,镜头,#NAME?,照相机拍下来的画面,ống kính,记者把镜头对准了运动员。,,FALSE
bài 11,自力更生,#NAME?,不依靠别人，靠自己生活和发展,Tự lực,他大学毕业后开始自力更生。,,FALSE
bài 11,尖端,#NAME?,最先进、最前面的技术或水平,"đỉnh cao, đi đầu, tiên tiến, mũi nhọn",这是世界尖端技术之一。,,FALSE
bài 11,钻研,#NAME?,一直认真学习和研究,"nghiền ngẫm, tận tụy",他一直在钻研人工智能。,,FALSE
bài 11,动态,#NAME?,不断变化的情况,năng động,我们要关注市场动态。,,FALSE
bài 11,储存,#NAME?,把东西保存起来，需要时再拿出来,cửa hàng,照片都储存在电脑里。,,FALSE
bài 11,遥控,#NAME?,不用直接接触，在远处控制,điều khiển từ xa,他用遥控器打开了电视。,,FALSE
bài 11,即时,#NAME?,事情发生后马上就能看到、知道或使用,ngay lập tức,比赛结果会即时公布。,,FALSE
bài 12,白噪音,#NAME?,听起来平稳、没有明显变化的声音，能让人放松。,Tiếng ồn trắng,白噪音听起来像下雨声，让人容易睡觉。,,FALSE
bài 12,嘈杂,#NAME?,很多声音混在一起，很吵闹。,ồn ào,刚才教室里很嘈杂，我听不清你的话， 你再说一篇吧。,,FALSE
bài 12,莫名其妙,#NAME?,不知道是什么原因，让人觉得奇怪。,khó hiểu,他莫名其妙地笑了，我不知道为什么。,,FALSE
bài 12,淘汰,#NAME?,把不适合的、差的去掉。,không sử dụng,这种旧机器早该淘汰了。,,FALSE
bài 12,不妨,#NAME?,这样做没有问题，可以试试。,Tại sao không?,有困难的话，你不妨告诉我。,,FALSE
bài 12,描绘,#NAME?,用语言或笔画出来、描述人出来。,Mô tả,他用文字描绘了美丽的家乡。,,FALSE
bài 12,波浪,#NAME?,水面一起一伏流动的浪。,sóng,海上的波浪很大。,,FALSE
bài 12,岩石,#NAME?,很大很硬的石头。,đá,波浪拍打着岩石。,,FALSE
bài 12,抚摸,#NAME?,用手轻轻地摸。,vuốt ve,妈妈轻轻抚摸孩子的头。,,FALSE
bài 12,务必,#NAME?,一定要这样做。,hãy chắc chắn,明天务必准时参加会议。,,FALSE
bài 12,警惕,#NAME?,小心注意危险。,cảnh giác,开车时要提高警惕。,,FALSE
bài 12,解除,#NAME?,把原来的去掉或取消。,"Xóa bỏ, giải trừ",危险解除后，大家都放松了。,,FALSE
bài 12,暴露,#NAME?,把藏起来的东西露出来。,Phơi bày,他的秘密被暴露了。,,FALSE
bài 12,惹祸,#NAME?,引起麻烦或灾祸。,"Gây họa, rắc rối",小孩子不要惹祸。,,FALSE
bài 12,雌雄,#NAME?,雌性和雄性。,nam và nữ,这只鸟是雄的还是雌的？一决雌雄/高下,,FALSE
bài 12,祖先,#NAME?,很远的长辈， 最早的祖宗。,tổ tiên,我们的祖先很聪明。,,FALSE
bài 12,遗留,#NAME?,以前留下的东西。,để lại,这是历史遗留的问题。,,FALSE
bài 12,嘛,#NAME?,表示语气的词。,"(nói,...) đi mà ",你去嘛，我不去。,,FALSE
bài 12,延续,#NAME?,让它继续下去。,Tiếp tục,这种传统要延续下去。,,FALSE
bài 12,后代,#NAME?,后面的子孙。,hậu duệ,我们要为后代着想。,,FALSE
bài 12,呼唤,#NAME?,大声地叫。,gọi ,他在远处呼唤我的名字。,,FALSE
bài 12,不得已,#NAME?,没有别的办法，只能这样做。,đường cùng rồi,我不得已才放弃这个机会。,,FALSE
bài 12,竖,#NAME?,立起来、竖直。,thẳng đứng,请把手指竖起来。,,FALSE
bài 12,原始,#NAME?,最早、最开始的时候。,nguyên bản,原始社会没有手机。,,FALSE
bài 12,进化,#NAME?,慢慢发展、变化。,sự tiến hóa,人类是慢慢进化的。,,FALSE
bài 12,靠拢,#NAME?,向旁边或目标靠近。,tiến lại gần hơn,船慢慢靠拢岸边。,,FALSE
bài 12,神经,#NAME?,身体里控制感觉和思想的部分。,dây thần kinh,他太紧张，神经受不了。,,FALSE
bài 12,生物,#NAME?,有生命的东西。,sinh vật học,森林里有许多生物。,,FALSE
bài 12,配偶,#NAME?,丈夫或妻子。,vợ chồng,他们是合法配偶。,,FALSE
bài 12,世代,#NAME?,一代接一代。,các thế hệ,这个习惯世代相传。,,FALSE
bài 12,暗示,#NAME?,不直接说出来。,"ám thị, gợi ý",他用眼神暗示我。,,FALSE
bài 12,提示,#NAME?,提醒别人。,gợi ý,老师提示我注意时间。,,FALSE
bài 12,鉴于,#NAME?,因为、考虑到。,Được cho,鉴于天气不好，我们取消了活动。,,FALSE
bài 12,功效,#NAME?,实际能起到的作用。,tác dụng,这个药功效很好。,,FALSE
bài 12,理所当然,#NAME?,按道理就应该这样。,Tất nhiên rồi,孝顺父母是理所当然的。,,FALSE
bài 12,疾病,#NAME?,身体的病。,bệnh,他得了严重的疾病。,,FALSE
bài 12,患者,#NAME?,正在生病的人。,kiên nhẫn,医生正在治疗患者。,,FALSE
bài 12,辅助,#NAME?,从旁帮助。,Ủng hộ,我需要一些辅助工具。,,FALSE
bài 12,症状,#NAME?,生病时身体的表现。,triệu chứng,感冒的症状是发烧和咳嗽。,,FALSE
bài 12,愈,#NAME?,病好了、伤好了。,Chữa lành,他的病终于愈了。,,FALSE
bài 12,障碍,#NAME?,挡住前进的困难东西。,trở ngại,语言是学习的障碍。,,FALSE
bài 12,给予,#NAME?,给别人东西或帮助。,đưa cho,大自然给予我们很多礼物。,,FALSE
bài 13,变迁,#NAME?,时间慢慢发生的变化,thay đổi,社会的变迁很大。,,FALSE
